INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../tb_rect_float.cpp in debug mode
   Compiling ../../../rect_float.cpp in debug mode
   Generating csim.exe
Entrada: -0.568504, Resultado esperado: 0.568504, Resultado obtenido: 0.568504
Entrada: -0.82227, Resultado esperado: 0.82227, Resultado obtenido: 0.82227
Entrada: -0.638139, Resultado esperado: 0.638139, Resultado obtenido: 0.638139
Entrada: -0.970196, Resultado esperado: 0.970196, Resultado obtenido: 0.970196
Entrada: -0.853849, Resultado esperado: 0.853849, Resultado obtenido: 0.853849
Entrada: -0.780668, Resultado esperado: 0.780668, Resultado obtenido: 0.780668
Entrada: -0.982403, Resultado esperado: 0.982403, Resultado obtenido: 0.982403
Entrada: -0.944841, Resultado esperado: 0.944841, Resultado obtenido: 0.944841
Entrada: -0.636307, Resultado esperado: 0.636307, Resultado obtenido: 0.636307
Entrada: -0.640963, Resultado esperado: 0.640963, Resultado obtenido: 0.640963
Entrada: -0.822055, Resultado esperado: 0.822055, Resultado obtenido: 0.822055
Entrada: -0.862674, Resultado esperado: 0.862674, Resultado obtenido: 0.862674
Entrada: -0.632586, Resultado esperado: 0.632586, Resultado obtenido: 0.632586
Entrada: -0.707137, Resultado esperado: 0.707137, Resultado obtenido: 0.707137
Entrada: -0.96403, Resultado esperado: 0.96403, Resultado obtenido: 0.96403
Entrada: -0.975036, Resultado esperado: 0.975036, Resultado obtenido: 0.975036
Entrada: -0.9352, Resultado esperado: 0.9352, Resultado obtenido: 0.9352
Entrada: -0.874655, Resultado esperado: 0.874655, Resultado obtenido: 0.874655
Entrada: -0.931762, Resultado esperado: 0.931762, Resultado obtenido: 0.931762
Entrada: -0.962165, Resultado esperado: 0.962165, Resultado obtenido: 0.962165
Entrada: -0.511731, Resultado esperado: 0.511731, Resultado obtenido: 0.511731
Entrada: -0.530247, Resultado esperado: 0.530247, Resultado obtenido: 0.530247
Entrada: -0.787341, Resultado esperado: 0.787341, Resultado obtenido: 0.787341
Entrada: -0.629212, Resultado esperado: 0.629212, Resultado obtenido: 0.629212
Entrada: -0.849162, Resultado esperado: 0.849162, Resultado obtenido: 0.849162
Entrada: -0.512448, Resultado esperado: 0.512448, Resultado obtenido: 0.512448
Entrada: -0.901056, Resultado esperado: 0.901056, Resultado obtenido: 0.901056
Entrada: -0.861503, Resultado esperado: 0.861503, Resultado obtenido: 0.861503
Entrada: -0.785831, Resultado esperado: 0.785831, Resultado obtenido: 0.785831
Entrada: -0.954211, Resultado esperado: 0.954211, Resultado obtenido: 0.954211
Entrada: -0.526916, Resultado esperado: 0.526916, Resultado obtenido: 0.526916
Entrada: -0.985779, Resultado esperado: 0.985779, Resultado obtenido: 0.985779
Entrada: -0.593819, Resultado esperado: 0.593819, Resultado obtenido: 0.593819
Entrada: -0.710871, Resultado esperado: 0.710871, Resultado obtenido: 0.710871
Entrada: -0.682974, Resultado esperado: 0.682974, Resultado obtenido: 0.682974
Entrada: -0.623166, Resultado esperado: 0.623166, Resultado obtenido: 0.623166
Entrada: -0.635615, Resultado esperado: 0.635615, Resultado obtenido: 0.635615
Entrada: -0.906863, Resultado esperado: 0.906863, Resultado obtenido: 0.906863
Entrada: -0.576046, Resultado esperado: 0.576046, Resultado obtenido: 0.576046
Entrada: -0.525975, Resultado esperado: 0.525975, Resultado obtenido: 0.525975
Entrada: -0.713259, Resultado esperado: 0.713259, Resultado obtenido: 0.713259
Entrada: -0.550343, Resultado esperado: 0.550343, Resultado obtenido: 0.550343
Entrada: -0.821258, Resultado esperado: 0.821258, Resultado obtenido: 0.821258
Entrada: -0.760549, Resultado esperado: 0.760549, Resultado obtenido: 0.760549
Entrada: -0.788986, Resultado esperado: 0.788986, Resultado obtenido: 0.788986
Entrada: -0.802049, Resultado esperado: 0.802049, Resultado obtenido: 0.802049
Entrada: -0.570881, Resultado esperado: 0.570881, Resultado obtenido: 0.570881
Entrada: -0.838889, Resultado esperado: 0.838889, Resultado obtenido: 0.838889
Entrada: -0.856081, Resultado esperado: 0.856081, Resultado obtenido: 0.856081
Entrada: -0.683565, Resultado esperado: 0.683565, Resultado obtenido: 0.683565
Entrada: -0.873145, Resultado esperado: 0.873145, Resultado obtenido: 0.873145
Entrada: -0.934632, Resultado esperado: 0.934632, Resultado obtenido: 0.934632
Entrada: -0.968998, Resultado esperado: 0.968998, Resultado obtenido: 0.968998
Entrada: -0.584674, Resultado esperado: 0.584674, Resultado obtenido: 0.584674
Entrada: -0.667672, Resultado esperado: 0.667672, Resultado obtenido: 0.667672
Entrada: -0.947494, Resultado esperado: 0.947494, Resultado obtenido: 0.947494
Entrada: -0.741081, Resultado esperado: 0.741081, Resultado obtenido: 0.741081
Entrada: -0.950766, Resultado esperado: 0.950766, Resultado obtenido: 0.950766
Entrada: -0.578961, Resultado esperado: 0.578961, Resultado obtenido: 0.578961
Entrada: -0.712205, Resultado esperado: 0.712205, Resultado obtenido: 0.712205
Entrada: -0.972225, Resultado esperado: 0.972225, Resultado obtenido: 0.972225
Entrada: -0.735551, Resultado esperado: 0.735551, Resultado obtenido: 0.735551
Entrada: -0.92682, Resultado esperado: 0.92682, Resultado obtenido: 0.92682
Entrada: -0.68628, Resultado esperado: 0.68628, Resultado obtenido: 0.68628
Entrada: -0.913977, Resultado esperado: 0.913977, Resultado obtenido: 0.913977
Entrada: -0.544063, Resultado esperado: 0.544063, Resultado obtenido: 0.544063
Entrada: -0.998688, Resultado esperado: 0.998688, Resultado obtenido: 0.998688
Entrada: -0.715427, Resultado esperado: 0.715427, Resultado obtenido: 0.715427
Entrada: -0.928726, Resultado esperado: 0.928726, Resultado obtenido: 0.928726
Entrada: -0.909243, Resultado esperado: 0.909243, Resultado obtenido: 0.909243
Entrada: -0.931437, Resultado esperado: 0.931437, Resultado obtenido: 0.931437
Entrada: -0.54111, Resultado esperado: 0.54111, Resultado obtenido: 0.54111
Entrada: -0.727245, Resultado esperado: 0.727245, Resultado obtenido: 0.727245
Entrada: -0.914329, Resultado esperado: 0.914329, Resultado obtenido: 0.914329
Entrada: -0.802065, Resultado esperado: 0.802065, Resultado obtenido: 0.802065
Entrada: -0.885097, Resultado esperado: 0.885097, Resultado obtenido: 0.885097
Entrada: -0.93247, Resultado esperado: 0.93247, Resultado obtenido: 0.93247
Entrada: -0.519208, Resultado esperado: 0.519208, Resultado obtenido: 0.519208
Entrada: -0.685465, Resultado esperado: 0.685465, Resultado obtenido: 0.685465
Entrada: -0.676839, Resultado esperado: 0.676839, Resultado obtenido: 0.676839
Entrada: -0.758186, Resultado esperado: 0.758186, Resultado obtenido: 0.758186
Entrada: -0.588678, Resultado esperado: 0.588678, Resultado obtenido: 0.588678
Entrada: -0.951886, Resultado esperado: 0.951886, Resultado obtenido: 0.951886
Entrada: -0.708371, Resultado esperado: 0.708371, Resultado obtenido: 0.708371
Entrada: -0.925597, Resultado esperado: 0.925597, Resultado obtenido: 0.925597
Entrada: -0.642112, Resultado esperado: 0.642112, Resultado obtenido: 0.642112
Entrada: -0.760286, Resultado esperado: 0.760286, Resultado obtenido: 0.760286
Entrada: -0.721551, Resultado esperado: 0.721551, Resultado obtenido: 0.721551
Entrada: -0.646126, Resultado esperado: 0.646126, Resultado obtenido: 0.646126
Entrada: -0.788707, Resultado esperado: 0.788707, Resultado obtenido: 0.788707
Entrada: -0.933423, Resultado esperado: 0.933423, Resultado obtenido: 0.933423
Entrada: -0.779794, Resultado esperado: 0.779794, Resultado obtenido: 0.779794
Entrada: -0.556628, Resultado esperado: 0.556628, Resultado obtenido: 0.556628
Entrada: -0.561166, Resultado esperado: 0.561166, Resultado obtenido: 0.561166
Entrada: -0.803944, Resultado esperado: 0.803944, Resultado obtenido: 0.803944
Entrada: -0.814435, Resultado esperado: 0.814435, Resultado obtenido: 0.814435
Entrada: -0.670925, Resultado esperado: 0.670925, Resultado obtenido: 0.670925
Entrada: -0.747133, Resultado esperado: 0.747133, Resultado obtenido: 0.747133
Entrada: -0.781143, Resultado esperado: 0.781143, Resultado obtenido: 0.781143
Entrada: -0.775378, Resultado esperado: 0.775378, Resultado obtenido: 0.775378
Entrada: -0.875714, Resultado esperado: 0.875714, Resultado obtenido: 0.875714
Entrada: -0.941567, Resultado esperado: 0.941567, Resultado obtenido: 0.941567
Entrada: -0.61058, Resultado esperado: 0.61058, Resultado obtenido: 0.61058
Entrada: -0.857369, Resultado esperado: 0.857369, Resultado obtenido: 0.857369
Entrada: -0.548228, Resultado esperado: 0.548228, Resultado obtenido: 0.548228
Entrada: -0.72929, Resultado esperado: 0.72929, Resultado obtenido: 0.72929
Entrada: -0.722105, Resultado esperado: 0.722105, Resultado obtenido: 0.722105
Entrada: -0.944428, Resultado esperado: 0.944428, Resultado obtenido: 0.944428
Entrada: -0.987827, Resultado esperado: 0.987827, Resultado obtenido: 0.987827
Entrada: -0.910272, Resultado esperado: 0.910272, Resultado obtenido: 0.910272
Entrada: -0.52053, Resultado esperado: 0.52053, Resultado obtenido: 0.52053
Entrada: -0.982988, Resultado esperado: 0.982988, Resultado obtenido: 0.982988
Entrada: -0.719244, Resultado esperado: 0.719244, Resultado obtenido: 0.719244
Entrada: -0.691902, Resultado esperado: 0.691902, Resultado obtenido: 0.691902
Entrada: -0.69171, Resultado esperado: 0.69171, Resultado obtenido: 0.69171
Entrada: -0.533964, Resultado esperado: 0.533964, Resultado obtenido: 0.533964
Entrada: -0.894391, Resultado esperado: 0.894391, Resultado obtenido: 0.894391
Entrada: -0.766867, Resultado esperado: 0.766867, Resultado obtenido: 0.766867
Entrada: -0.893476, Resultado esperado: 0.893476, Resultado obtenido: 0.893476
Entrada: -0.901281, Resultado esperado: 0.901281, Resultado obtenido: 0.901281
Entrada: -0.666021, Resultado esperado: 0.666021, Resultado obtenido: 0.666021
Entrada: -0.529675, Resultado esperado: 0.529675, Resultado obtenido: 0.529675
Entrada: -0.941766, Resultado esperado: 0.941766, Resultado obtenido: 0.941766
Entrada: -0.934613, Resultado esperado: 0.934613, Resultado obtenido: 0.934613
Entrada: -0.763016, Resultado esperado: 0.763016, Resultado obtenido: 0.763016
