INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../tb_mean_float.cpp in debug mode
   Compiling ../../../mean_float.cpp in debug mode
   Generating csim.exe
Entrada: 0.568504
Entrada: 0.82227
Entrada: 0.638139
Entrada: 0.970196
Entrada: 0.853849
Entrada: 0.780668
Entrada: 0.982403
Entrada: 0.944841
Entrada: 0.636307
Entrada: 0.640963
Entrada: 0.822055
Entrada: 0.862674
Entrada: 0.632586
Entrada: 0.707137
Entrada: 0.96403
Entrada: 0.975036
Entrada: 0.9352
Entrada: 0.874655
Entrada: 0.931762
Entrada: 0.962165
Entrada: 0.511731
Entrada: 0.530247
Entrada: 0.787341
Entrada: 0.629212
Entrada: 0.849162
Entrada: 0.512448
Entrada: 0.901056
Entrada: 0.861503
Entrada: 0.785831
Entrada: 0.954211
Entrada: 0.526916
Entrada: 0.985779
Entrada: 0.593819
Entrada: 0.710871
Entrada: 0.682974
Entrada: 0.623166
Entrada: 0.635615
Entrada: 0.906863
Entrada: 0.576046
Entrada: 0.525975
Entrada: 0.713259
Entrada: 0.550343
Entrada: 0.821258
Entrada: 0.760549
Entrada: 0.788986
Entrada: 0.802049
Entrada: 0.570881
Entrada: 0.838889
Entrada: 0.856081
Entrada: 0.683565
Entrada: 0.873145
Entrada: 0.934632
Entrada: 0.968998
Entrada: 0.584674
Entrada: 0.667672
Entrada: 0.947494
Entrada: 0.741081
Entrada: 0.950766
Entrada: 0.578961
Entrada: 0.712205
Entrada: 0.972225
Entrada: 0.735551
Entrada: 0.92682
Entrada: 0.68628
Entrada: 0.913977
Entrada: 0.544063
Entrada: 0.998688
Entrada: 0.715427
Entrada: 0.928726
Entrada: 0.909243
Entrada: 0.931437
Entrada: 0.54111
Entrada: 0.727245
Entrada: 0.914329
Entrada: 0.802065
Entrada: 0.885097
Entrada: 0.93247
Entrada: 0.519208
Entrada: 0.685465
Entrada: 0.676839
Entrada: 0.758186
Entrada: 0.588678
Entrada: 0.951886
Entrada: 0.708371
Entrada: 0.925597
Entrada: 0.642112
Entrada: 0.760286
Entrada: 0.721551
Entrada: 0.646126
Entrada: 0.788707
Entrada: 0.933423
Entrada: 0.779794
Entrada: 0.556628
Entrada: 0.561166
Entrada: 0.803944
Entrada: 0.814435
Entrada: 0.670925
Entrada: 0.747133
Entrada: 0.781143
Entrada: 0.775378
Entrada: 0.875714
Entrada: 0.941567
Entrada: 0.61058
Entrada: 0.857369
Entrada: 0.548228
Entrada: 0.72929
Entrada: 0.722105
Entrada: 0.944428
Entrada: 0.987827
Entrada: 0.910272
Entrada: 0.52053
Entrada: 0.982988
Entrada: 0.719244
Entrada: 0.691902
Entrada: 0.69171
Entrada: 0.533964
Entrada: 0.894391
Entrada: 0.766867
Entrada: 0.893476
Entrada: 0.901281
Entrada: 0.666021
Entrada: 0.529675
Entrada: 0.941766
Entrada: 0.934613
Entrada: 0.763016
Entrada: 0.708163
Entrada: 0.686316
Entrada: 0.65656
Entrada: 0.650312
Entrada: 0.965691
Entrada: 0.652702
Entrada: 0.551748
Entrada: 0.732546
Entrada: 0.76456
Entrada: 0.651201
Entrada: 0.94301
Entrada: 0.52675
Entrada: 0.988078
Entrada: 0.554086
Entrada: 0.988749
Entrada: 0.618192
Entrada: 0.773237
Entrada: 0.627799
Entrada: 0.969369
Entrada: 0.798366
Entrada: 0.866216
Entrada: 0.940088
Entrada: 0.831104
Entrada: 0.925691
Entrada: 0.662923
Entrada: 0.679764
Entrada: 0.5666
Entrada: 0.800608
Entrada: 0.985559
Entrada: 0.601102
Entrada: 0.712326
Entrada: 0.565996
Entrada: 0.96065
Entrada: 0.675939
Entrada: 0.97937
Entrada: 0.806046
Entrada: 0.639865
Entrada: 0.820469
Entrada: 0.986524
Entrada: 0.779472
Entrada: 0.709386
Entrada: 0.92174
Entrada: 0.527277
Entrada: 0.512176
Entrada: 0.607102
Entrada: 0.60307
Entrada: 0.965065
Entrada: 0.923363
Entrada: 0.809112
Entrada: 0.604138
Entrada: 0.986763
Entrada: 0.610879
Entrada: 0.778624
Entrada: 0.509284
Entrada: 0.595605
Entrada: 0.552189
Entrada: 0.972269
Entrada: 0.987992
Entrada: 0.702116
Entrada: 0.519749
Entrada: 0.916153
Entrada: 0.720484
Entrada: 0.716636
Entrada: 0.562733
Entrada: 0.792807
Entrada: 0.754255
Entrada: 0.607514
Entrada: 0.581584
Entrada: 0.55238
Entrada: 0.88983
Entrada: 0.976299
Entrada: 0.923093
Entrada: 0.65905
Entrada: 0.849181
Entrada: 0.633901
Entrada: 0.577186
Entrada: 0.735487
Entrada: 0.958595
Entrada: 0.782611
Entrada: 0.708403
Entrada: 0.904331
Entrada: 0.554434
Entrada: 0.974937
Entrada: 0.501378
Entrada: 0.524771
Entrada: 0.784326
Entrada: 0.786829
Entrada: 0.657216
Entrada: 0.991486
Entrada: 0.905176
Entrada: 0.815352
Entrada: 0.901582
Entrada: 0.593052
Entrada: 0.862812
Entrada: 0.84441
Entrada: 0.662256
Entrada: 0.641798
Entrada: 0.755281
Entrada: 0.748053
Entrada: 0.53557
Entrada: 0.589839
Entrada: 0.989747
Entrada: 0.684646
Entrada: 0.867505
Entrada: 0.88207
Entrada: 0.88375
Entrada: 0.546281
Entrada: 0.752836
Entrada: 0.817335
Entrada: 0.866666
Entrada: 0.719311
Entrada: 0.522829
Entrada: 0.627103
Entrada: 0.502586
Entrada: 0.765367
Entrada: 0.85028
Entrada: 0.974083
Entrada: 0.670703
Entrada: 0.721851
Entrada: 0.846373
Entrada: 0.926689
Entrada: 0.992162
Entrada: 0.783785
Entrada: 0.573305
Entrada: 0.630735
Entrada: 0.568724
Entrada: 0.816168
Entrada: 0.931114
Entrada: 0.661855
Entrada: 0.919768
Entrada: 0.660269
Entrada: 0.577198
Entrada: 0.523108
Entrada: 0.850135
Entrada: 0.89701
Entrada: 0.813238
Entrada: 0.758427
Entrada: 0.766841
Entrada: 0.8213
Entrada: 0.692492
Entrada: 0.867256
Entrada: 0.790844
Entrada: 0.780029
Entrada: 0.677707
Entrada: 0.519655
Entrada: 0.796992
Entrada: 0.772579
Entrada: 0.901826
Entrada: 0.859168
Entrada: 0.712272
Entrada: 0.630535
Entrada: 0.579574
Entrada: 0.649749
Entrada: 0.51999
Entrada: 0.666678
Entrada: 0.955299
Entrada: 0.677787
Entrada: 0.841865
Entrada: 0.936288
Entrada: 0.557175
Entrada: 0.969622
Entrada: 0.504901
Entrada: 0.873234
Entrada: 0.739654
Entrada: 0.765165
Entrada: 0.697356
Entrada: 0.616018
Entrada: 0.793462
Entrada: 0.590944
Entrada: 0.526842
Entrada: 0.541401
Entrada: 0.946752
Entrada: 0.960109
Entrada: 0.592726
Entrada: 0.657118
Entrada: 0.744766
Entrada: 0.703727
Entrada: 0.937408
Entrada: 0.795614
Entrada: 0.676632
Entrada: 0.806714
Entrada: 0.604982
Entrada: 0.538114
Entrada: 0.69179
Entrada: 0.751182
Entrada: 0.96389
Entrada: 0.95088
Entrada: 0.566819
Entrada: 0.634707
Entrada: 0.918993
Entrada: 0.631799
Entrada: 0.847998
Entrada: 0.924751
Entrada: 0.79559
Entrada: 0.687367
Entrada: 0.507359
Entrada: 0.790895
Entrada: 0.832258
Entrada: 0.618553
Entrada: 0.856828
Entrada: 0.714556
Entrada: 0.771213
Entrada: 0.683177
Entrada: 0.781484
Entrada: 0.516149
Entrada: 0.57589
Entrada: 0.68238
Entrada: 0.998296
Entrada: 0.737216
Entrada: 0.580316
Entrada: 0.694575
Entrada: 0.861262
Entrada: 0.734246
Entrada: 0.531708
Entrada: 0.961418
Entrada: 0.742848
Entrada: 0.758214
Entrada: 0.855875
Entrada: 0.979994
Entrada: 0.822053
Entrada: 0.996238
Entrada: 0.867625
Entrada: 0.925217
Entrada: 0.515319
Entrada: 0.944173
Entrada: 0.812522
Entrada: 0.850731
Entrada: 0.529709
Entrada: 0.600219
Entrada: 0.735733
Entrada: 0.808534
Entrada: 0.744623
Entrada: 0.814927
Entrada: 0.530332
Entrada: 0.717982
Entrada: 0.686042
Entrada: 0.532539
Entrada: 0.703019
Entrada: 0.638266
Entrada: 0.521016
Entrada: 0.919563
Entrada: 0.540271
Entrada: 0.651339
Entrada: 0.818728
Entrada: 0.582729
Entrada: 0.91272
Entrada: 0.512061
Entrada: 0.738589
Entrada: 0.823227
Entrada: 0.899251
Entrada: 0.792171
Entrada: 0.697268
Entrada: 0.824755
Entrada: 0.787746
Entrada: 0.742439
Entrada: 0.953263
Entrada: 0.87828
Entrada: 0.73654
Entrada: 0.71991
Entrada: 0.782014
Entrada: 0.746314
Entrada: 0.894041
Entrada: 0.950591
Entrada: 0.983684
Entrada: 0.8469
Entrada: 0.60915
